,Channel 1,Channel 2,Correlation
493,Oz,O2,0.4692577254564
490,O1,Oz,0.4692577254564
174,F8,FC6,0.4647528152939467
65,F7,FC5,0.4647528152939466
29,Fp1,O2,0.46269795014788256
57,Fp2,O1,0.4626979501478823
149,F4,FC6,0.4587308930049498
93,F3,FC5,0.45873089300494946
117,F3,PO10,0.4578493582310629
166,F4,PO9,0.4578493582310629
445,TP10,P8,0.44954817006730297
381,TP9,P7,0.44954817006730297
495,O2,PO10,0.4467620406710333
486,PO9,O1,0.4467620406710331
186,F8,P7,0.44651717018780823
84,F7,P8,0.4465171701878081
291,T7,CP5,0.44580602068064573
364,T8,CP6,0.4458060206806456
455,P7,PO9,0.4443134606770275
485,P8,PO10,0.44431346067702737
28,Fp1,Oz,0.44429113150968136
58,Fp2,Oz,0.44429113150968125
276,FC6,P7,0.4388310996262966
214,FC5,P8,0.4388310996262964
395,CP5,P7,0.4384024514437703
435,CP6,P8,0.4384024514437701
116,F3,O2,0.436315030046167
167,F4,O1,0.436315030046167
148,F4,FC2,0.43625993655296186
94,F3,FC1,0.43625993655296186
142,Fz,Oz,0.43547207757695855
61,F7,F3,0.43496950313805466
145,F4,F8,0.4349695031380546
289,T7,T8,0.4339720757091925
2,Fp1,F3,0.43262008951025993
34,Fp2,F4,0.4326200895102599
290,T7,TP9,0.4311329830745524
365,T8,TP10,0.4311329830745522
83,F7,P4,0.4249459061556488
187,F8,P3,0.4249459061556487
344,C4,TP9,0.42453644414240865
314,C3,TP10,0.4245364441424086
451,P7,P3,0.4243516129423451
475,P4,P8,0.424351612942345
270,FC6,TP9,0.4242896620021561
209,FC5,TP10,0.4242896620021558
361,T8,CP5,0.4229966307359643
294,T7,CP6,0.4229966307359642
281,FC6,PO9,0.422174026842003
219,FC5,PO10,0.4221740268420029
242,FC1,PO10,0.4203453427494045
260,FC2,PO9,0.4203453427494043
112,F3,P8,0.4202669167188599
161,F4,P7,0.42026691671885985
268,FC6,C4,0.41979974169729833
200,FC5,C3,0.41979974169729833
141,Fz,O1,0.4162560124371941
143,Fz,O2,0.41625601243719407
310,C3,CP5,0.4152245816703499
348,C4,CP6,0.41522458167034976
450,TP10,PO10,0.4109232810543032
386,TP9,PO9,0.4109232810543032
396,CP5,P3,0.4104128504586277
434,CP6,P4,0.4104128504586276
122,Fz,FC2,0.4096394253257437
121,Fz,FC1,0.4096394253257437
30,Fp1,PO10,0.40803306114038945
56,Fp2,PO9,0.40803306114038934
90,F3,Fz,0.4078267381571101
118,Fz,F4,0.40782673815711007
181,F8,CP5,0.4065299584280285
78,F7,CP6,0.40652995842802847
52,Fp2,P3,0.4028266463097836
24,Fp1,P4,0.4028266463097836
89,F7,PO10,0.4026499530181202
191,F8,PO9,0.40264995301812007
1,Fp1,F7,0.4025530879208875
35,Fp2,F8,0.40255308792088745
0,Fp1,Fp2,0.3996494726897026
196,FC5,FC1,0.39912879516598265
