,Channel 1,Channel 2,Correlation
490,O1,Oz,0.8757695026611856
493,Oz,O2,0.87576950266118
174,F8,FC6,0.8386145321718236
65,F7,FC5,0.8386145321718236
149,F4,FC6,0.8362975977443466
93,F3,FC5,0.8362975977443464
290,T7,TP9,0.8135160627380569
365,T8,TP10,0.8135160627380568
455,P7,PO9,0.8088509859111019
485,P8,PO10,0.8088509859110964
291,T7,CP5,0.80867257045409
364,T8,CP6,0.8086725704540899
395,CP5,P7,0.8043822030156291
435,CP6,P8,0.804382203015629
495,O2,PO10,0.8024755619702775
486,PO9,O1,0.8024755619702774
381,TP9,P7,0.8020595730524506
445,TP10,P8,0.8020595730524506
0,Fp1,Fp2,0.7992107316120476
310,C3,CP5,0.7852207196411437
348,C4,CP6,0.7852207196411437
94,F3,FC1,0.7816660401821821
148,F4,FC2,0.7816660401821821
386,TP9,PO9,0.778314255131473
450,TP10,PO10,0.7783142551314675
1,Fp1,F7,0.7742759915919486
35,Fp2,F8,0.7742759915919485
34,Fp2,F4,0.7734797369485645
2,Fp1,F3,0.7734797369485645
268,FC6,C4,0.7721724006686906
200,FC5,C3,0.7721724006686906
396,CP5,P3,0.7713425994325341
434,CP6,P4,0.771342599432534
122,Fz,FC2,0.7696572776572503
121,Fz,FC1,0.7696572776572503
409,CP1,P3,0.769556991136008
423,CP2,P4,0.7695569911360078
224,FC1,Cz,0.7640522052394361
246,FC2,Cz,0.7640522052394361
451,P7,P3,0.7617406338343957
475,P4,P8,0.7617406338343957
311,C3,CP1,0.7615250951878105
347,C4,CP2,0.7615250951878105
61,F7,F3,0.7609151745564574
145,F4,F8,0.7609151745564573
90,F3,Fz,0.7608062412907574
118,Fz,F4,0.7608062412907574
330,Cz,CP2,0.7566812125967417
329,Cz,CP1,0.7566812125967417
223,FC1,C3,0.7539688716991214
247,FC2,C4,0.7539688716991213
460,P3,Pz,0.750935176831991
468,Pz,P4,0.7509351768319908
410,CP1,Pz,0.7427812629280739
422,CP2,Pz,0.7427812629280737
199,FC5,T7,0.7380754637594822
269,FC6,T8,0.7380754637594822
464,P3,O1,0.736846312672472
479,P4,O2,0.7368463126724666
69,F7,T7,0.73666784857122
179,F8,T8,0.73666784857122
196,FC5,FC1,0.7351238179429596
243,FC2,FC6,0.7351238179429596
57,Fp2,O1,0.731349086029594
29,Fp1,O2,0.7313490860295888
456,P7,O1,0.7313089369105957
484,P8,O2,0.7313089369105903
166,F4,PO9,0.7289247919359989
117,F3,PO10,0.7289247919359936
84,F7,P8,0.7232587779189861
186,F8,P7,0.7232587779189861
28,Fp1,Oz,0.7221459215978293
58,Fp2,Oz,0.7221459215978292
370,T8,P8,0.7200765260713685
296,T7,P7,0.7200765260713685
276,FC6,P7,0.7194173042336975
214,FC5,P8,0.7194173042336975
167,F4,O1,0.7181583657576802
116,F3,O2,0.7181583657576749
142,Fz,Oz,0.7177380915008164
289,T7,T8,0.7169865318961965
3,Fp1,Fz,0.7134880881754488
33,Fp2,Fz,0.7134880881754488
83,F7,P4,0.7124749641920872
187,F8,P3,0.7124749641920871
314,C3,TP10,0.7122690638668332
344,C4,TP9,0.7122690638668332
270,FC6,TP9,0.7121459780830881
209,FC5,TP10,0.7121459780830879
294,T7,CP6,0.7114999208604255
361,T8,CP5,0.7114999208604255
281,FC6,PO9,0.7110879167083253
219,FC5,PO10,0.7110879167083197
260,FC2,PO9,0.7101743552791476
242,FC1,PO10,0.7101743552791422
112,F3,P8,0.7101349862558898
161,F4,P7,0.7101349862558897
141,Fz,O1,0.7081316144290304
143,Fz,O2,0.7081316144290248
491,O1,O2,0.7052151131429807
56,Fp2,PO9,0.7040168661519284
30,Fp1,PO10,0.7040168661519229
181,F8,CP5,0.7032667996915762
78,F7,CP6,0.7032667996915762
376,TP9,CP5,0.7018081013545125
430,CP6,TP10,0.7018081013545124
24,Fp1,P4,0.7014168259556179
52,Fp2,P3,0.7014168259556179
191,F8,PO9,0.7013254026686065
89,F7,PO10,0.7013254026686013
140,Fz,PO9,0.6982196805642819
144,Fz,PO10,0.6982196805642764
472,Pz,Oz,0.6970522283850915
286,T7,C3,0.6933934546297056
343,C4,T8,0.6933934546297054
192,F8,O1,0.693370268303457
88,F7,O2,0.6933702683034516
79,F7,TP10,0.6933132715416561
180,F8,TP9,0.6933132715416561
27,Fp1,O1,0.6922856803614693
59,Fp2,O2,0.6922856803614639
487,PO9,Oz,0.6922278512737832
494,Oz,PO10,0.6922278512737777
168,F4,Oz,0.6912196036676397
115,F3,Oz,0.6912196036676397
360,T8,TP9,0.6891386429632888
295,T7,TP10,0.6891386429632886
155,F4,TP9,0.6889494217278532
107,F3,TP10,0.6889494217278532
23,Fp1,Pz,0.6886754554198488
53,Fp2,Pz,0.6886754554198488
308,C3,T8,0.6885594648003736
288,T7,C4,0.6885594648003734
271,FC6,CP5,0.6863385015914094
208,FC5,CP6,0.6863385015914094
463,P3,PO9,0.6853876582094403
480,P4,PO10,0.6853876582094347
51,Fp2,P7,0.6850603533447547
25,Fp1,P8,0.6850603533447547
366,T8,P7,0.6832221901846706
300,T7,P8,0.6832221901846705
282,FC6,O1,0.6816359585458247
218,FC5,O2,0.6816359585458192
391,CP5,CP1,0.6813555883109749
418,CP2,CP6,0.6813555883109748
379,TP9,CP6,0.6800615041001238
394,CP5,TP10,0.6800615041001238
162,F4,P3,0.6798729876443483
111,F3,P4,0.6798729876443483
249,FC2,TP9,0.6798674970372077
232,FC1,TP10,0.6798674970372076
471,Pz,O1,0.6789058710784255
473,Pz,O2,0.6789058710784199
220,FC1,FC2,0.6788141259800144
277,FC6,P3,0.6776305738164048
213,FC5,P4,0.6776305738164048
39,Fp2,FC6,0.6776119879153341
6,Fp1,FC5,0.677611987915334
319,C3,P8,0.6773796355606009
350,C4,P7,0.6773796355606009
